Ion = Helium      , Mass = 4.003
Tgt =  C +  H +  O +  N (Solid), Density = 1.06 g/cm3
Stopping Units = keV/(ug/cm2) 
Energy(keV)  S(Elec)    S(Nuc)
1.595E+03   1.932E+00  1.750E-03 
1.600E+03   1.929E+00  1.746E-03 
1.605E+03   1.926E+00  1.741E-03 
1.610E+03   1.923E+00  1.736E-03 
1.615E+03   1.920E+00  1.732E-03 
1.620E+03   1.917E+00  1.727E-03 
1.625E+03   1.914E+00  1.723E-03 
1.630E+03   1.911E+00  1.718E-03 
1.635E+03   1.908E+00  1.714E-03 
1.640E+03   1.905E+00  1.709E-03 
1.644E+03   1.902E+00  1.705E-03 
1.649E+03   1.899E+00  1.701E-03 
1.654E+03   1.897E+00  1.696E-03 
1.659E+03   1.894E+00  1.692E-03 
1.664E+03   1.891E+00  1.688E-03 
1.669E+03   1.888E+00  1.683E-03 
1.674E+03   1.885E+00  1.679E-03 
1.679E+03   1.882E+00  1.675E-03 
1.684E+03   1.879E+00  1.670E-03 
1.689E+03   1.876E+00  1.666E-03 
1.694E+03   1.874E+00  1.662E-03 
1.699E+03   1.871E+00  1.658E-03 
1.704E+03   1.868E+00  1.654E-03 
1.709E+03   1.865E+00  1.650E-03 
1.714E+03   1.862E+00  1.646E-03 
1.718E+03   1.860E+00  1.641E-03 
1.723E+03   1.857E+00  1.637E-03 
1.728E+03   1.854E+00  1.633E-03 
1.733E+03   1.851E+00  1.629E-03 
1.738E+03   1.848E+00  1.625E-03 
1.743E+03   1.846E+00  1.621E-03 
1.748E+03   1.843E+00  1.617E-03 
1.753E+03   1.840E+00  1.614E-03 
1.758E+03   1.837E+00  1.610E-03 
1.763E+03   1.835E+00  1.606E-03 
1.768E+03   1.832E+00  1.602E-03 
1.773E+03   1.829E+00  1.598E-03 
1.778E+03   1.827E+00  1.594E-03 
1.783E+03   1.824E+00  1.590E-03 
1.788E+03   1.821E+00  1.587E-03 
1.793E+03   1.818E+00  1.583E-03 
1.797E+03   1.816E+00  1.579E-03 
1.802E+03   1.813E+00  1.575E-03 
1.807E+03   1.810E+00  1.572E-03 
1.812E+03   1.808E+00  1.568E-03 
1.817E+03   1.805E+00  1.564E-03 
1.822E+03   1.802E+00  1.561E-03 
1.827E+03   1.800E+00  1.557E-03 
1.832E+03   1.797E+00  1.553E-03 
1.837E+03   1.795E+00  1.550E-03 
1.842E+03   1.792E+00  1.546E-03 
1.847E+03   1.789E+00  1.543E-03 
1.852E+03   1.787E+00  1.539E-03 
1.857E+03   1.784E+00  1.535E-03 
1.862E+03   1.782E+00  1.532E-03 
1.867E+03   1.779E+00  1.528E-03 
1.871E+03   1.776E+00  1.525E-03 
1.876E+03   1.774E+00  1.521E-03 
1.881E+03   1.771E+00  1.518E-03 
1.886E+03   1.769E+00  1.515E-03 
1.891E+03   1.766E+00  1.511E-03 
1.896E+03   1.764E+00  1.508E-03 
1.901E+03   1.761E+00  1.504E-03 
1.906E+03   1.759E+00  1.501E-03 
1.911E+03   1.756E+00  1.498E-03 
1.916E+03   1.754E+00  1.494E-03 
1.921E+03   1.751E+00  1.491E-03 
1.926E+03   1.749E+00  1.488E-03 
1.931E+03   1.746E+00  1.484E-03 
1.936E+03   1.744E+00  1.481E-03 
1.941E+03   1.741E+00  1.478E-03 
1.945E+03   1.739E+00  1.475E-03 
1.950E+03   1.736E+00  1.471E-03 
1.955E+03   1.734E+00  1.468E-03 
1.960E+03   1.731E+00  1.465E-03 
1.965E+03   1.729E+00  1.462E-03 
1.970E+03   1.726E+00  1.459E-03 
1.975E+03   1.724E+00  1.455E-03 
1.980E+03   1.722E+00  1.452E-03 
1.985E+03   1.719E+00  1.449E-03 
1.990E+03   1.717E+00  1.446E-03 
1.995E+03   1.714E+00  1.443E-03 
2.000E+03   1.712E+00  1.440E-03 
